ES,English,Popularity
de,from,1
que,what,2
no,no,3
a,to,4
la,the,5
el,the,6
y,and,7
es,is,8
en,on,9
lo,it,10
un,a,11
por,by,12
qué,what,13
me,I,14
una,a,15
los,the,16
se,I know,17
te,tea,18
con,with,19
para,for,20
está,is,21
mi,me,22
pero,but,23
si,Yes,25
bien,well,26
eso,that,27
su,his,28
las,the,29
yo,me,30
del,the,31
como,What,32
aquí,here,33
tu,you,34
al,to the,35
más,plus,36
le,you,37
esto,this,38
todo,everything,39
ya,already,40
estoy,I'm,41
ahora,now,42
muy,very,43
ha,ha,44
esta,is,45
así,So,46
vamos,we go,47
algo,something,48
hay,there are,49
bueno,Okay,50
tengo,I have,51
él,he,52
cuando,when,53
estás,these,54
sé,he,55
tú,your,56
nos,us,57
nada,nothing,58
cómo,excuse me,59
este,East,60
o,or,61
he,He.,62
ser,be,63
tiene,have,64
puedo,may l,65
ella,her,66
quiero,want,67
hacer,do,68
fue,was,69
gracias,Thank you,70
vez,time,71
era,was,72
soy,am,73
sólo,alone,74
todos,everyone,75
porque,because,76
son,They are,77
tienes,have,78
creo,believe,79
voy,I go,80
sabes,know,81
estaba,I was,82
puede,can,83
eres,are,84
ese,that,85
usted,you,86
entonces,then,87
hola,hello,88
solo,only,89
verdad,truth,90
casa,House,91
tan,so,92
quién,whose,93
sus,their,94
tiempo,weather,95
dos,two,96
esa,this,97
nunca,never,98
dónde,where,99
va,he,100
oh,Oh,101
favor,favor,102
mucho,a lot,103
mí,my,104
quieres,you want,105
siento,I feel,106
señor,Sir,107
mejor,better,108
hace,make,109
has,HAS.,110
decir,say,111
también,as well,112
sobre,on,113
dios,God,114
sin,without,115
tenemos,have,116
están,is it so,117
ti,you,118
puedes,you can,119
ver,watch,120
hombre,man,121
vida,lifetime,122
alguien,someone,123
cosas,stuff,124
siempre,forever,125
hasta,until,126
ahí,there,127
ir,to go,128
años,years,129
antes,before,130
estar,be,131
ni,neither,132
poco,little bit,133
día,day,134
uno,one,135
noche,evening,136
hecho,done,137
mis,MIS,138
estamos,we're,139
otra,other,140
acuerdo,agreement,141
trabajo,job,142
nosotros,us,143
parece,It seems,144
gente,people,145
sea,be,146
padre,dad,147
mira,sight,148
mismo,same,149
dijo,said,150
nadie,no one,151
quiere,wants,152
podría,might,153
hablar,speak,154
vas,you go,155
ellos,they,156
sr.,Mr.,157
tal,such,158
pasa,happens,159
fuera,outside,160
después,then,161
han,they have,162
desde,from,163
dinero,money,164
mundo,world,165
claro,Clear,166
momento,moment,167
les,them,168
tener,have,169
estado,condition,170
otro,other,171
había,there was,172
mañana,morning,173
tenía,I had,174
madre,mother,175
vale,okay,176
lugar,place,177
haciendo,making,178
donde,where,179
seguro,sure,180
sabe,knows,181
podemos,can,182
tus,your,183
espera,waiting,184
nuevo,new,185
sido,been,186
cosa,thing,187
hijo,child,188
allí,there,189
menos,less,190
tipo,type,191
amigo,friend,192
gran,big,193
nuestro,our,194
mujer,woman,195
mamá,mom,196
luego,later,197
papá,dad,198
días,days,199
dice,it says,200
hoy,today,201
tres,three,202
buena,good,203
necesito,needed,204
dije,said,205
oye,hears,206
gusta,like,207
quería,wanted,208
será,be,209
haber,to have,210
parte,part,211
todas,all,212
crees,you think,213
buen,good,214
conmigo,with me,215
nombre,Name,216
mierda,shit,217
nuestra,our,218
mal,evil,219
debe,should,220
realmente,Really,221
estas,are,222
aún,yet,223
mío,Own,224
toda,all,225
hacerlo,do it,226
cada,every,227
visto,viewed,228
importa,import,229
contigo,with you,230
tienen,have,231
hemos,we have,232
razón,reason,233
alguna,some,234
tanto,so much,235
saber,to know,236
hizo,did,237
veces,times,238
serio,I laughed,239
ven,come,240
idea,idea,241
eh,Hey,242
tarde,afternoon,243
problema,trouble,244
hora,hour,245
cierto,certain,246
dicho,saying,247
quien,who,248
demasiado,too,249
amor,love,250
entre,Come in,251
ve,go,252
pasado,past,253
familia,family,254
estos,these,255
policía,police,256
debería,should,257
ustedes,your,258
chica,girl,259
esos,those,260
chicos,Boys,261
cuenta,bill,262
haces,you do,263
todavía,yet,264
salir,leave,265
algún,some,266
vaya,Wow,267
unos,some,268
veo,I see,269
amigos,friends,270
hermano,brother,271
pensé,I thought,272
sabía,I knew,273
cabeza,head,274
ah,ah,275
cariño,Dear,276
digo,say,277
van,go,278
hombres,mens,279
buenas,good,280
somos,are,281
cualquier,any,282
forma,shape,283
mientras,While,284
lado,side,285
debo,I must,286
sería,would,287
caso,case,288
pueden,they can,289
pasó,I pass,290
primera,first,291
genial,great,292
chico,guy,293
supuesto,assumption,294
hice,I did,295
pues,well,296
adiós,bye,297
muchas,many,298
personas,people,299
señora,Lady,300
volver,return,301
esas,those,302
quizá,maybe,303
contra,against,304
camino,way,305
durante,during,306
hablando,speaking,307
manera,way,308
muerto,dead,309
persona,person,310
rápido,Quick,311
cuál,which one,312
ayuda,help,313
historia,history,314
iba,I was going,315
supongo,I suppose,316
nueva,new,317
entiendo,I get it,318
dentro,inside,319
casi,almost,320
puerta,door,321
ves,you see,322
pasar,pass,323
primero,First,324
significa,it means,325
semana,week,326
hacia,toward,327
quizás,maybe,328
espero,wait,329
juntos,together,330
año,year,331
niños,children,332
pronto,early,333
tío,uncle,334
suerte,luck,335
ciudad,town,336
siquiera,even,337
feliz,happy,338
venir,come,339
hija,daughter,340
gustaría,would like,341
minutos,minutes,342
cuánto,how much,343
os,you,344
hey,Hey,345
muerte,death,346
dejar,let,347
realidad,reality,348
deja,let,349
problemas,problems,350
vi,saw,351
da,gives,352
importante,important,353
dijiste,said,354
corazón,heart,355
miedo,afraid,356
jefe,boss,357
agua,Water,358
haré,I will do,359
justo,just,360
horas,hours,361
poder,can,362
buenos,good ones,363
esposa,wife,364
manos,hands,365
debes,you should,366
viene,comes,367
venga,come on,368
nuestros,our,369
ojos,eyes,370
adelante,go ahead,371
encontrar,find,372
mano,hand,373
cinco,five,374
niño,child,375
ninguna,none,376
otros,others,377
cara,expensive,378
cuidado,watch out,379
bajo,under,380
cerca,near,381
viejo,old,382
déjame,let me,383
noches,nights,384
bastante,Quite,385
fin,finish,386
tomar,drink,387
único,unique,388
misma,one.,389
escucha,listen,390
ningún,No.,391
suficiente,enough,392
punto,point,393
cuándo,when,394
sigue,follow,395
haya,is,396
equipo,equipment,397
grande,big,398
necesita,needs to,399
llegar,reach,400
incluso,even,401
algunos,Some,402
doctor,doctor,403
difícil,hard,404
aunque,even though,405
hubiera,had,406
primer,first,407
coche,car,408
hago,do,409
clase,class,410
cuatro,four,411
mas,more,412
dices,You say,413
pequeño,small,414
llama,call,415
toma,taking,416
hiciste,did,417
allá,there,418
última,last.,419
arriba,above,420
tierra,land,421
guerra,war,422
pensar,to think,423
pueda,can.,424
igual,same,425
loco,mad,426
sangre,blood,427
mujeres,women,428
vuelta,lap,429
fui,I was,430
trabajar,to work,431
tenido,Dyed,432
juego,play,433
deberías,you should,434
cuerpo,body,435
e,and,436
algunas,some,437
entrar,get in,438
cree,CREE.,439
podía,I could,440
debemos,must,441
oportunidad,chance,442
teléfono,telephone,443
necesitamos,we need,444
final,final,445
listo,clever,446
fiesta,party,447
muchos,Many,448
estabas,You were there,449
quieren,They want.,450
vete,go away,451
auto,car,452
dar,give,453
vivir,to live,454
posible,possible,455
ok,okay,456
hermana,sister,457
número,number,458
meses,months,459
exactamente,exactly,460
culpa,guilt,461
abajo,down,462
escuela,school,463
ido,gone,464
fuerte,strong,465
diciendo,saying,466
habla,talks,467
esté,East,468
ello,it,469
pregunta,question,470
chicas,girls,471
eran,they were,472
unas,nail,473
pasando,going,474
atrás,behind,475
malo,bad,476
capitán,captain,477
sra.,Ms.,478
bebé,baby,479
segundo,second,480
sabemos,we know,481
mayor,higher,482
comida,food,483
morir,To die,484
conozco,know,485
dame,give to me,486
fácil,easy,487
comer,eat,488
vino,came,489
lista,ready,490
haga,make,491
necesitas,you need,492
hijos,sons,493
probablemente,probably,494
padres,fathers,495
habitación,bedroom,496
creer,to believe,497
pensando,thinking,498
fueron,They were,499
dime,tell me,500
trata,treats,501
buscando,searching,502
tuve,I had,503
tampoco,either,504
amo,love,505
joven,young man,506
podrías,could you,507
sola,alone,508
par,pair,509
única,only,510
hacen,do,511
seguir,"follow, continue",512
dr.,DR,513
simplemente,simply,514
dicen,they say,515
medio,"means, medium",516
puta,bitch,517
saben,Saben.,518
sentido,sense,519
hagas,you do,520
segura,safe,521
esperar,expect,522
lejos,far,523
arma,weapon,524
alto,high,525
pequeña,little,526
dólares,Dollars,527
seis,six,528
estaban,They were,529
seguridad,security,530
maldita,damned,531
estuvo,he was,532
preocupes,worry,533
palabra,word,534
esperando,waiting,535
queda,remains,536
oficina,office,537
matar,kill,538
iré,I will go,539
cama,bed,540
además,what's more,541
último,latest,542
oído,hearing,543
habría,there would be,544
estará,will be,545
dio,it gave,546
recuerdo,I remember,547
siendo,being,548
acerca,about,549
tenga,have,550
luz,light,551
correcto,Right,552
ud.,You.,553
demonios,got damn,554
nuestras,ours,555
verte,to see you,556
dormir,to sleep,557
sitio,site,558
ayudar,to help,559
conseguir,get,560
di,gave,561
marido,husband,562
paz,peace,563
idiota,moron,564
plan,plan,565
dado,dice,566
cuanto,how much,567
peor,worse,568
murió,died,569
pueblo,town,570
vivo,alive,571
venido,I come,572
john,John.,573
basta,Enough,574
paso,He passed,575
deberíamos,we should,576
música,music,577
diga,SIGE.,578
minuto,minute,579
anoche,last night,580
llamar,to call,581
piensa,think,582
país,country,583
digas,you say,584
rey,King,585
perdón,forgiveness,586
mucha,a lot,587
falta,lack,588
pienso,I think,589
diablos,Devils,590
perdido,lost,591
niña,little girl,592
señorita,Miss,593
diez,ten,594
lleva,carry,595
hospital,hospital,596
grandes,big,597
maldito,damned,598
otras,Others,599
llamado,called,600
hacemos,we make,601
llevar,carry,602
fuego,fire,603
aqui,here,604
tuvo,had,605
poner,place,606
calle,Street,607
acaba,just,608
prueba,proof,609
increíble,amazing,610
real,real,611
libro,book,612
orden,order,613
semanas,weeks,614
especial,special,615
mía,mine,616
café,coffee,617
duro,Lasted,618
empezar,begin,619
afuera,outside,620
queremos,we want,621
perro,dog,622
cielo,Darling,623
jack,Jack,624
puesto,Market Stall,625
viaje,travel,626
detrás,behind,627
cuarto,quarter,628
querida,Dear,629
haría,would do,630
preguntas,questions,631
piensas,You think,632
querido,Dear,633
libre,free,634
buscar,search for,635
cual,which,636
diré,I'll say,637
suena,dream,638
jugar,play,639
cambio,change,640
película,film,641
millones,millions,642
habrá,there will be,643
llamada,call,644
resto,rest,645
vemos,we see,646
extraño,strange,647
mala,bad,648
presidente,President,649
srta.,Ms.,650
irme,go,651
ropa,clothing,652
perder,to lose,653
vuelve,returns,654
agente,agent,655
palabras,words,656
información,information,657
raro,weird,658
hará,he will do,659
entiendes,you understand,660
éste,East,661
trabajando,working,662
tratando,trying,663
general,general,664
trato,treatment,665
usar,use,666
perfecto,perfect,667
derecho,right,668
modo,mode,669
ayer,Yesterday,670
conoces,you know,671
demás,the rest,672
quieras,want.,673
podríamos,we could,674
noticias,news,675
asesino,assassin,676
encontrado,Found,677
control,control,678
odio,hate,679
frente,forehead,680
sexo,sex,681
decirle,tell him.,682
estaré,I will be,683
divertido,funny,684
armas,weapons,685
recuerdas,remember,686
amiga,friend,687
grupo,group,688
asunto,business,689
acabo,finished,690
mensaje,message,691
encima,above,692
atención,attention,693
diferente,different,694
uh,Uh,695
cállate,shut,696
daño,damage,697
sucede,happens,698
cambiar,change,699
siguiente,following,700
sino,otherwise,701
the,The.,702
seas,Seas.,703
médico,doctor,704
boca,mouth,705
dejó,let,706
error,error,707
jamás,Never,708
largo,length,709
pena,pain,710
voz,voice,711
futuro,future,712
siente,Feel,713
secreto,secret,714
baño,bath,715
mil,one thousand,716
decirte,tell you,717
sam,Sam.,718
pensaba,thought,719
novia,bride,720
propia,own,721
sueño,sleep,722
haz,make,723
fuerza,force,724
deben,they should,725
supone,Suppose,726
estábamos,We were,727
ambos,both of them,728
ay,Oh,729
estuve,was,730
encontré,I found,731
vuelto,turned,732
dolor,pain,733
dile,tell him,734
encanta,loves,735
edad,age,736
darle,give him,737
pie,foot,738
negro,black,739
ganar,to earn,740
york,york,741
aire,air,742
lamento,lament,743
verlo,see him,744
asesinato,murder,745
vio,he saw,746
adónde,where to,747
llegado,arrived,748
disculpe,excuse me,749
s,S.,750
cita,appointment,751
estaría,It would,752
fuiste,you were,753
sistema,system,754
gusto,taste,755
pobre,poor,756
negocio,business,757
mente,mind,758
tuyo,yours,759
campo,countryside,760
mire,Look,761
situación,situation,762
tras,after,763
hotel,hotel,764
vosotros,you all,765
funciona,it works,766
foto,Photo,767
abogado,attorney,768
loca,crazy,769
propio,own self,770
alrededor,around,771
próxima,Next,772
terminado,finished,773
hablas,speak,774
pagar,to pay,775
mató,killed,776
llamo,I call,777
personal,personal,778
sientes,you feel,779
ocurre,occurred,780
ésta,is,781
recuerda,remember,782
mitad,half,783
quiera,want,784
pelo,hair,785
