FR,English,Popularity
de,of,1
je,I,2
est,is,3
pas,not,4
le,the,5
que,than,6
la,the,7
vous,you,8
tu,you,9
et,and,13
il,he,14
a,at,15
ne,born,17
les,the,18
en,in,20
on,we,21
ça,that,22
une,a,23
d',d ',24
ce,this,25
qu',that,26
pour,for,27
ai,have,28
n',not',29
des,from,30
qui,who,31
mais,corn,32
dans,in,33
nous,we,34
elle,she,35
me,me,36
bien,good,37
si,if,38
du,from,39
y,Y,40
suis,am,41
non,no,42
t',T ',43
avec,with,44
tout,all,45
plus,more,46
mon,my,47
m',m ',48
te,you,49
au,to,50
fait,made,51
moi,me,52
s',S ',53
oui,Yes,54
va,goes,55
était,was,56
as,have,57
faire,make,58
ils,they,59
sur,on,60
quoi,what,61
se,be,62
comme,like,63
sais,know,64
être,to be,65
veux,want,66
ici,here,67
ma,my,68
toi,you,69
est-ce,is it,70
dit,said,71
lui,him,72
votre,your,73
es,es,74
pourquoi,Why,75
où,or,76
là,the,77
rien,nothing,78
cette,that,79
sont,are,80
quand,when,81
peux,can,82
dire,to say,83
son,his,84
avez,have,85
vais,am going to,86
alors,so,87
ton,your,88
comment,How? 'Or' What,89
par,by,90
ou,Where,91
chose,thing,92
bon,Well,93
ont,have,94
merci,thank you,95
juste,fair,96
très,very,97
jamais,never,98
été,summer,99
aussi,too,100
avoir,to have,101
vraiment,really,102
voir,to see,103
même,same,104
sa,her,105
oh,Oh,106
maintenant,now,107
tous,all,108
peut,can,109
deux,of them,110
ces,those,111
êtes,are,112
allez,go,113
ta,your,114
autre,other,115
peu,little,116
temps,time,117
quelque,some,118
fais,do,119
toujours,always,120
encore,again,121
notre,our,122
mes,my,123
besoin,need,124
avait,had,125
accord,OK,126
faut,should,127
dois,have,128
vie,life,129
peut-être,may be,130
aller,go,131
fois,times,132
vu,seen,133
donc,so,134
sans,without,135
monde,world,136
étais,tenuous,137
parce,by,138
avant,before,139
sûr,sure,140
trop,too much,141
quelqu',someone,142
parler,to speak,143
personne,person,144
avais,had,145
père,dad,146
crois,believe,147
après,after,148
aux,to,149
dieu,God,150
ouais,Yeah,151
ses,his,152
pense,think,153
eu,eu,154
aime,love,155
leur,their,156
homme,man,157
viens,come,158
vrai,true,159
femme,women,160
ok,OK,161
doit,must,162
